algorithmName,gridHash,nodesVisited,movementsTaken,optimalMovementsTaken,solutionFound,solutionGap,timeElapsed
B,12345678_,1,0,0,true,0.0,2815000
I,12345678_,1,0,0,true,0.0,37000
U,12345678_,1,0,0,true,0.0,2065900
A,12345678_,1,0,0,true,0.0,491900
A1,12345678_,1,0,0,true,0.0,17000
A2,12345678_,1,0,0,true,0.0,11200
G,12345678_,1,0,0,true,0.0,244200
G1,12345678_,1,0,0,true,0.0,228500
H,12345678_,1,0,0,true,0.0,42100
HR,12345678_,1,0,0,true,0.0,13000
HS1,12345678_,1,0,0,true,0.0,10600
HS2,12345678_,1,0,0,true,0.0,10900
HS3,12345678_,1,0,0,true,0.0,11900
R,12345678_,1,0,0,true,0.0,31700
B,1234567_8,2,1,1,true,0.0,691000
I,1234567_8,3,1,1,true,0.0,107300
U,1234567_8,3,1,1,true,0.0,204800
A,1234567_8,2,1,1,true,0.0,173200
A1,1234567_8,2,1,1,true,0.0,111200
A2,1234567_8,2,1,1,true,0.0,105500
G,1234567_8,3,1,1,true,0.0,145300
G1,1234567_8,2,1,1,true,0.0,85600
H,1234567_8,2,1,1,true,0.0,575400
HR,1234567_8,2,1,1,true,0.0,239900
HS1,1234567_8,4,3,1,true,2.0,155300
HS2,1234567_8,4,3,1,true,2.0,122100
HS3,1234567_8,4,3,1,true,2.0,124700
R,1234567_8,2,1,1,true,0.0,277400
B,1234_5786,6,2,2,true,0.0,133900
I,1234_5786,9,2,2,true,0.0,116500
U,1234_5786,11,2,2,true,0.0,248000
A,1234_5786,3,2,2,true,0.0,115500
A1,1234_5786,3,2,2,true,0.0,76200
A2,1234_5786,3,2,2,true,0.0,69300
G,1234_5786,11,2,2,true,0.0,205000
G1,1234_5786,3,2,2,true,0.0,86700
H,1234_5786,3,2,2,true,0.0,52100
HR,1234_5786,3,2,2,true,0.0,59200
HS1,1234_5786,5,4,2,true,1.0,77000
HS2,1234_5786,5,4,2,true,1.0,103300
HS3,1234_5786,5,4,2,true,1.0,101300
R,1234_5786,77,76,2,false,37.0,1159800
B,1_3425786,9,3,3,true,0.0,89800
I,1_3425786,26,3,3,true,0.0,149000
U,1_3425786,17,3,3,true,0.0,207200
A,1_3425786,4,3,3,true,0.0,108100
A1,1_3425786,4,3,3,true,0.0,137500
A2,1_3425786,4,3,3,true,0.0,70600
G,1_3425786,17,3,3,true,0.0,180900
